,Waktu,dapur,kamar,kamar2,ruangtamu,teras,toilet
667,360,2,2,2,1,1,2
668,420,2,2,2,1,1,2
669,452,2,1,2,1,1,2
670,455,1,1,2,1,1,2
671,480,1,1,2,1,1,2
672,482,1,1,1,1,1,2
673,483,1,1,1,1,1,1
674,540,1,1,1,1,1,1
675,600,1,1,1,1,1,1
676,660,1,1,1,1,1,1
677,720,1,1,1,1,1,1
678,740,2,1,1,1,1,1
679,780,2,1,1,1,1,1
680,811,1,1,1,1,1,1
681,840,1,1,1,1,1,1
682,900,1,1,1,1,1,1
683,960,1,1,1,1,1,1
684,991,1,1,2,1,1,1
685,992,1,1,2,2,1,1
686,1020,1,1,2,2,1,1
687,1022,2,1,2,2,1,1
688,1023,2,1,2,2,1,2
689,1059,2,2,2,2,1,2
690,1260,2,2,2,2,2,2
691,1080,2,2,2,2,2,2
692,1140,2,2,2,2,2,2
693,1200,2,1,1,1,2,2
694,1260,2,2,2,2,2,2
695,1320,2,2,2,2,2,2
696,1322,2,2,1,2,2,2
697,1323,2,2,1,1,2,2
698,1325,1,2,1,2,2,2
699,1380,1,2,1,1,2,2
700,0,1,2,1,1,2,2
701,60,1,2,1,1,2,2
702,120,1,2,1,1,2,2
703,180,1,2,1,1,2,2
704,240,1,2,1,1,2,2
705,300,1,2,1,1,2,2
706,301,1,2,2,1,2,2
707,302,2,2,2,1,2,2
708,360,2,2,2,1,1,2
709,420,2,2,2,1,1,2
710,452,2,1,2,1,1,2
711,453,1,1,2,1,1,2
712,480,1,1,2,1,1,2
713,485,1,1,1,1,1,2
714,486,1,1,1,1,1,1
715,540,1,1,1,1,1,1
716,600,1,1,1,1,1,1
717,660,1,1,1,1,1,1
718,720,1,1,1,1,1,1
719,737,2,1,1,1,1,1
720,780,2,1,1,1,1,1
721,817,1,1,1,1,1,1
722,840,1,1,1,1,1,1
723,900,1,1,1,1,1,1
724,960,1,1,1,1,1,1
725,997,1,1,2,1,1,1
726,997,1,1,2,2,1,1
727,1020,1,1,2,2,1,1
728,1024,2,1,2,2,1,1
729,1025,2,1,2,2,1,2
730,1062,2,2,2,2,1,2
731,1062,2,2,2,2,2,2
732,1080,2,2,2,2,2,2
733,1140,2,2,2,2,2,2
734,1200,2,1,2,2,2,2
735,1260,1,1,2,2,2,2
736,1320,2,2,2,2,2,2
737,1320,2,2,1,2,2,2
738,1320,2,2,1,1,2,2
739,1320,1,2,1,1,2,2
740,1380,1,1,1,1,2,2
741,0,1,1,1,1,1,2
742,60,1,1,1,1,1,2
743,120,1,1,1,1,1,2
744,180,1,1,1,1,1,2
745,240,1,1,1,1,1,2
746,300,1,1,1,1,1,2
747,301,1,1,2,1,1,2
748,301,2,1,2,1,1,2
749,360,2,2,2,1,2,2
750,362,2,2,2,1,1,2
751,420,2,2,2,1,1,2
752,451,2,1,2,1,1,2
753,452,1,1,2,1,1,2
754,480,1,1,2,1,1,2
755,481,1,1,1,1,1,2
756,483,1,1,1,1,1,1
757,540,1,1,1,1,1,1
758,600,1,1,1,1,1,1
759,660,1,1,1,1,1,1
760,720,1,1,1,1,1,1
761,736,2,1,1,1,1,1
762,780,2,1,1,1,1,1
763,811,1,1,1,1,1,1
764,840,1,1,1,1,1,1
765,900,1,1,1,1,1,1
766,960,1,1,1,1,1,1
767,991,1,1,2,1,1,1
768,992,1,1,2,2,1,1
769,1020,1,1,2,2,1,1
770,1022,2,1,2,2,1,1
771,1023,2,1,2,2,1,2
772,1061,2,2,2,2,1,2
773,1062,2,2,2,2,2,2
774,1080,2,2,2,2,2,2
775,1140,2,2,2,2,2,2
776,1200,2,2,2,2,2,2
777,1260,2,2,2,2,2,2
778,1320,2,2,2,2,2,2
779,1322,2,2,1,2,2,2
780,1323,2,2,1,1,2,2
781,1324,1,2,1,1,2,2
782,1380,1,1,1,1,2,2
783,0,1,2,1,1,2,2
784,60,1,2,1,1,2,2
785,120,1,2,1,1,2,2
786,180,1,2,1,1,2,2
787,240,1,2,1,1,2,2
788,300,1,2,1,1,2,2
789,302,1,2,2,1,2,2
790,303,2,2,2,1,2,2
791,360,2,2,2,1,1,2
792,420,2,2,2,1,1,2
793,452,2,1,2,1,1,2
794,453,1,1,2,1,1,2
795,480,1,1,2,1,1,2
796,485,1,1,1,1,1,2
797,487,1,1,1,1,1,1
798,540,1,1,1,1,1,1
799,600,1,1,1,1,1,1
800,660,1,1,1,1,1,1
801,720,1,1,1,1,1,1
802,737,2,1,1,1,1,1
803,780,2,1,1,1,1,1
804,813,1,1,1,1,1,1
805,840,1,1,1,1,1,1
806,900,1,1,1,1,1,1
807,960,1,1,1,1,1,1
808,992,1,1,2,1,1,1
809,994,1,1,2,2,1,1
810,1020,1,1,2,2,1,1
811,1022,2,1,2,2,1,1
812,1023,2,1,2,2,1,2
813,1061,2,2,2,2,1,2
814,1061,2,2,2,2,2,2
815,1080,2,2,2,2,2,1
816,1140,2,2,2,2,2,2
817,1200,2,2,2,2,2,2
818,1260,2,2,2,2,2,2
819,1320,2,2,2,2,2,2
820,1321,2,2,1,2,2,2
821,1321,2,2,1,1,2,2
822,1321,1,2,1,1,2,2
823,1380,1,2,1,1,2,2
824,0,1,2,1,1,2,2
825,60,1,2,1,1,2,2
826,120,1,2,1,1,2,2
827,180,1,2,1,1,2,2
828,240,1,2,1,1,2,2
829,300,1,2,1,1,2,2
830,306,1,2,2,1,2,2
831,306,2,2,2,1,2,2
832,360,2,2,2,1,1,2
833,420,2,2,2,1,2,2
834,451,2,1,2,1,1,2
835,452,1,1,2,1,1,2
836,480,1,1,2,1,1,2
837,482,1,1,1,1,1,2
838,483,1,1,1,1,1,1
839,540,1,1,1,1,1,1
840,600,1,1,1,1,1,1
841,660,1,1,1,1,1,1
842,720,1,1,1,1,1,1
843,736,2,1,1,1,1,1
844,780,2,1,1,1,1,1
845,810,1,1,1,1,1,1
846,840,1,1,1,1,1,1
